date,hour,intersection_id,intersection_name,functional_zone,road_class,inbound_veh,outbound_veh,total_veh,design_capacity_vph,saturation,avg_speed_kmh,avg_delay_s,queue_length_m,weather,day_type,degree,zone_hint_for_validation
2025-10-01,0,QNA001,成纪大道-环城西路,北部门户区,主干路,100,107,207,3600,0.058,45.1,11.2,8.0,晴,节假日,2,A
2025-10-01,1,QNA001,成纪大道-环城西路,北部门户区,主干路,123,126,249,3600,0.069,45.3,12.6,8.0,晴,节假日,2,A
2025-10-01,2,QNA001,成纪大道-环城西路,北部门户区,主干路,148,145,293,3600,0.081,45.9,13.1,14.4,晴,节假日,2,A
2025-10-01,3,QNA001,成纪大道-环城西路,北部门户区,主干路,131,134,265,3600,0.074,47.6,15.9,10.8,晴,节假日,2,A
2025-10-01,4,QNA001,成纪大道-环城西路,北部门户区,主干路,167,158,325,3600,0.09,46.3,14.0,8.0,晴,节假日,2,A
2025-10-01,5,QNA001,成纪大道-环城西路,北部门户区,主干路,157,163,320,3600,0.089,44.1,18.9,17.5,晴,节假日,2,A
2025-10-01,6,QNA001,成纪大道-环城西路,北部门户区,主干路,377,367,744,3600,0.207,41.1,25.8,23.5,晴,节假日,2,A
2025-10-01,7,QNA001,成纪大道-环城西路,北部门户区,主干路,592,616,1208,3600,0.336,37.8,29.0,39.3,晴,节假日,2,A
2025-10-01,8,QNA001,成纪大道-环城西路,北部门户区,主干路,749,762,1511,3600,0.42,33.8,39.2,47.1,晴,节假日,2,A
2025-10-01,9,QNA001,成纪大道-环城西路,北部门户区,主干路,525,564,1089,3600,0.302,37.0,29.5,39.0,晴,节假日,2,A
2025-10-01,10,QNA001,成纪大道-环城西路,北部门户区,主干路,369,395,764,3600,0.212,40.9,26.7,25.2,晴,节假日,2,A
2025-10-01,11,QNA001,成纪大道-环城西路,北部门户区,主干路,526,497,1023,3600,0.284,37.2,29.1,35.3,晴,节假日,2,A
