intersection_id,intersection_name,road_class,functional_zone,zone_hint_for_validation,grid_x,grid_y,design_capacity_vph,degree,lat,lng
QNA001,成纪大道-环城西路,主干路,北部门户区,A,0,4,3600.0,2,34.851686,105.668917
QNA002,成纪大道-解放南路,主干路,北部门户区,A,1,4,3600.0,3,34.860499,105.674624
QNA003,成纪大道-兴国路,主干路,北部门户区,A,2,4,3600.0,3,34.860521,105.671033
QNA004,成纪大道-蔡林路,主干路,北部门户区,A,3,4,3600.0,3,34.860475,105.667865
QNA005,成纪大道-北坛街,主干路,北部门户区,A,4,4,3600.0,3,34.862083,105.671869
QNA006,成纪大道-解放北路,主干路,北部门户区,A,5,4,3600.0,3,34.860581,105.674625
QNA007,成纪大道-应乾路,主干路,北部门户区,A,6,4,3600.0,3,34.860506,105.670412
QNA008,成纪大道-街泉街,主干路,北部门户区,A,7,4,3600.0,2,34.874061,105.669962
QNA009,太白街-环城西路,次干路,西部门户区,A,0,3,2800.0,3,34.851686,105.668917
QNA010,太白街-解放南路,主干路,行政商贸核心区,A,1,3,3600.0,4,34.858423,105.674657
QNA011,太白街-兴国路,主干路,行政商贸核心区,A,2,3,3600.0,4,34.858758,105.671072
QNA012,太白街-蔡林路,次干路,行政商贸核心区,A,3,3,2800.0,4,34.861828,105.6679
QNA013,太白街-北坛街,次干路,东部居住区,A,4,3,2800.0,4,34.863419,105.672153
QNA014,太白街-解放北路,主干路,北部居住区,A,5,3,3600.0,4,34.857375,105.674375
QNA015,太白街-应乾路,次干路,北部居住区,A,6,3,2800.0,4,34.877851,105.676229
QNA016,太白街-街泉街,次干路,东部居住区,A,7,3,2800.0,3,34.874061,105.669962
QNA017,新华街-环城西路,次干路,西部门户区,B,0,2,2800.0,3,34.851686,105.668917
QNA018,新华街-解放南路,主干路,行政商贸核心区,B,1,2,3600.0,4,34.855849,105.674618
QNA019,新华街-兴国路,主干路,行政商贸核心区,B,2,2,3600.0,4,34.858758,105.671072
QNA020,新华街-蔡林路,次干路,行政商贸核心区,B,3,2,2800.0,4,34.861828,105.6679
QNA021,新华街-北坛街,次干路,东部居住区,B,4,2,2800.0,4,34.863419,105.672153
QNA022,新华街-解放北路,主干路,北部居住区,B,5,2,3600.0,4,34.8701,105.673971
QNA023,新华街-应乾路,次干路,北部居住区,B,6,2,2800.0,4,34.877851,105.676229
QNA024,新华街-街泉街,次干路,东部居住区,B,7,2,2800.0,3,34.874061,105.669962
QNA025,人民街-环城西路,次干路,教育生活区,C,0,1,2800.0,3,34.851686,105.668917
QNA026,人民街-解放南路,主干路,教育生活区,C,1,1,3600.0,4,34.855849,105.674618
QNA027,人民街-兴国路,主干路,教育生活区,C,2,1,3600.0,4,34.858758,105.671072
QNA028,人民街-蔡林路,次干路,教育生活区,C,3,1,2800.0,4,34.861828,105.6679
QNA029,人民街-北坛街,次干路,教育生活区,C,4,1,2800.0,4,34.863471,105.674504
QNA030,人民街-解放北路,主干路,教育生活区,C,5,1,3600.0,4,34.863471,105.674504
QNA031,人民街-应乾路,次干路,教育生活区,C,6,1,2800.0,4,34.855835,105.672317
QNA032,人民街-街泉街,次干路,教育生活区,C,7,1,2800.0,3,34.874061,105.669962
QNA033,映南路-环城西路,次干路,东部居住区,D,0,0,2800.0,2,34.851686,105.668917
QNA034,映南路-解放南路,主干路,东部居住区,D,1,0,3600.0,3,34.855849,105.674618
QNA035,映南路-兴国路,主干路,东部居住区,D,2,0,3600.0,3,34.866517,105.67169
QNA036,映南路-蔡林路,次干路,东部居住区,D,3,0,2800.0,3,34.864268,105.67176
QNA037,映南路-北坛街,次干路,东部居住区,D,4,0,2800.0,3,34.863381,105.671445
QNA038,映南路-解放北路,主干路,东部居住区,D,5,0,3600.0,3,34.864125,105.678275
QNA039,映南路-应乾路,次干路,东部居住区,D,6,0,2800.0,3,34.877851,105.676229
QNA040,映南路-街泉街,支路,东部居住区,D,7,0,1800.0,2,34.874061,105.669962
