date,segment_id,from_intersection,to_intersection,road_name,length_m,lanes,free_flow_speed_kmh,functional_class,daily_volume_proxy,avg_speed_kmh,peak_hour_volume,v_c_ratio,travel_time_min,community_weight
2025-10-01,S001,QNA001,QNA002,成纪大道,647,4,52,主干路,9599,41.1,1572,0.243,0.94,17.803
2025-10-01,S002,QNA002,QNA003,成纪大道,377,4,52,主干路,9799,41.3,1585,0.245,0.55,31.19
2025-10-01,S003,QNA003,QNA004,成纪大道,332,4,52,主干路,9835,41.1,1638,0.253,0.48,35.548
2025-10-01,S004,QNA004,QNA005,成纪大道,699,4,52,主干路,9883,41.0,1541,0.238,1.02,16.967
2025-10-01,S005,QNA005,QNA006,成纪大道,460,4,52,主干路,9620,41.3,1496,0.231,0.67,25.096
2025-10-01,S006,QNA006,QNA007,成纪大道,445,4,52,主干路,9756,41.3,1525,0.235,0.65,26.308
2025-10-01,S007,QNA007,QNA008,成纪大道,434,4,52,主干路,9808,41.1,1598,0.247,0.63,27.119
2025-10-01,S008,QNA009,QNA010,太白街,391,3,42,次干路,9739,36.0,1525,0.314,0.65,24.908
2025-10-01,S009,QNA010,QNA011,太白街,697,3,42,次干路,12697,38.6,2029,0.417,1.08,18.217
2025-10-01,S010,QNA011,QNA012,太白街,372,3,42,次干路,10857,34.9,1810,0.372,0.64,29.185
2025-10-01,S011,QNA012,QNA013,太白街,666,3,42,次干路,7599,32.6,1335,0.275,1.23,11.41
2025-10-01,S012,QNA013,QNA014,太白街,699,3,42,次干路,8053,37.5,1335,0.275,1.12,11.521
2025-10-01,S013,QNA014,QNA015,太白街,599,3,42,次干路,8209,37.1,1321,0.272,0.97,13.705
2025-10-01,S014,QNA015,QNA016,太白街,364,3,42,次干路,6358,33.3,1064,0.219,0.66,17.467
2025-10-01,S015,QNA017,QNA018,新华街,622,3,40,次干路,9837,36.0,1660,0.342,1.04,15.815
2025-10-01,S016,QNA018,QNA019,新华街,536,3,40,次干路,12661,39.1,2182,0.449,0.82,23.621
2025-10-01,S017,QNA019,QNA020,新华街,336,3,40,次干路,10707,35.1,1723,0.355,0.57,31.866
2025-10-01,S018,QNA020,QNA021,新华街,335,3,40,次干路,7643,32.3,1216,0.25,0.62,22.815
2025-10-01,S019,QNA021,QNA022,新华街,367,3,40,次干路,7997,37.2,1311,0.27,0.59,21.79
2025-10-01,S020,QNA022,QNA023,新华街,431,3,40,次干路,8052,37.0,1278,0.263,0.7,18.682
2025-10-01,S021,QNA023,QNA024,新华街,439,3,40,次干路,6327,33.1,959,0.197,0.8,14.412
2025-10-01,S022,QNA025,QNA026,人民街,578,3,38,次干路,8239,37.3,1290,0.265,0.93,14.254
2025-10-01,S023,QNA026,QNA027,人民街,628,3,38,次干路,10112,41.0,1494,0.307,0.92,16.102
2025-10-01,S024,QNA027,QNA028,人民街,333,3,38,次干路,8395,36.9,1223,0.252,0.54,25.21
2025-10-01,S025,QNA028,QNA029,人民街,607,3,38,次干路,6662,33.1,1010,0.208,1.1,10.975
2025-10-01,S026,QNA029,QNA030,人民街,421,3,38,次干路,8337,37.1,1309,0.269,0.68,19.803
2025-10-01,S027,QNA030,QNA031,人民街,686,3,38,次干路,8356,37.0,1255,0.258,1.11,12.181
2025-10-01,S028,QNA031,QNA032,人民街,652,3,38,次干路,6540,33.0,950,0.195,1.19,10.031
2025-10-01,S029,QNA033,QNA034,映南路,434,2,32,支路,7197,37.6,1171,0.361,0.69,16.583
2025-10-01,S030,QNA034,QNA035,映南路,332,2,32,支路,8594,41.8,1353,0.418,0.48,25.886
2025-10-01,S031,QNA035,QNA036,映南路,449,2,32,支路,7320,37.4,1218,0.376,0.72,16.303
2025-10-01,S032,QNA036,QNA037,映南路,362,2,32,支路,6029,33.2,1065,0.329,0.65,16.655
2025-10-01,S033,QNA037,QNA038,映南路,223,2,32,支路,7400,37.6,1323,0.408,0.36,33.184
2025-10-01,S034,QNA038,QNA039,映南路,301,2,32,支路,7412,37.6,1248,0.385,0.48,24.625
2025-10-01,S035,QNA039,QNA040,映南路,436,2,32,支路,4565,29.4,751,0.232,0.89,10.47
2025-10-01,S036,QNA001,QNA009,环城西路,454,3,40,次干路,8145,37.1,1305,0.269,0.73,17.941
2025-10-01,S037,QNA009,QNA017,环城西路,422,3,40,次干路,6962,32.9,1039,0.214,0.77,16.498
2025-10-01,S038,QNA017,QNA025,环城西路,359,3,40,次干路,6677,33.0,1013,0.208,0.65,18.599
2025-10-01,S039,QNA025,QNA033,环城西路,390,3,40,次干路,6057,33.5,975,0.201,0.7,15.531
2025-10-01,S040,QNA002,QNA010,解放南路,452,4,48,主干路,11193,40.0,1779,0.275,0.68,29.716
2025-10-01,S041,QNA010,QNA018,解放南路,332,4,48,主干路,12614,39.1,2159,0.333,0.51,45.593
2025-10-01,S042,QNA018,QNA026,解放南路,327,4,48,主干路,11399,40.3,1938,0.299,0.49,41.831
2025-10-01,S043,QNA026,QNA034,解放南路,474,4,48,主干路,9379,41.4,1465,0.226,0.69,23.744
2025-10-01,S044,QNA003,QNA011,兴国路,329,4,46,主干路,11303,39.9,1835,0.283,0.49,41.227
2025-10-01,S045,QNA011,QNA019,兴国路,463,4,46,主干路,12745,38.6,2091,0.323,0.72,33.032
2025-10-01,S046,QNA019,QNA027,兴国路,456,4,46,主干路,11374,39.8,1763,0.272,0.69,29.932
2025-10-01,S047,QNA027,QNA035,兴国路,589,4,46,主干路,9327,41.4,1382,0.213,0.85,19.002
2025-10-01,S048,QNA004,QNA012,蔡林路,415,3,40,次干路,9390,36.1,1554,0.32,0.69,22.627
2025-10-01,S049,QNA012,QNA020,蔡林路,302,3,40,次干路,8820,31.4,1481,0.305,0.58,29.205
2025-10-01,S050,QNA020,QNA028,蔡林路,515,3,40,次干路,7728,32.2,1153,0.237,0.96,15.006
2025-10-01,S051,QNA028,QNA036,蔡林路,554,3,40,次干路,6388,33.0,997,0.205,1.01,11.531
2025-10-01,S052,QNA005,QNA013,北坛街,343,3,38,次干路,8092,37.6,1323,0.272,0.55,23.592
2025-10-01,S053,QNA013,QNA021,北坛街,473,3,38,次干路,6422,33.5,1070,0.22,0.85,13.577
2025-10-01,S054,QNA021,QNA029,北坛街,320,3,38,次干路,6577,33.1,1011,0.208,0.58,20.553
2025-10-01,S055,QNA029,QNA037,北坛街,562,3,38,次干路,6303,33.3,992,0.204,1.01,11.215
2025-10-01,S056,QNA006,QNA014,解放北路,430,4,48,主干路,9580,41.2,1508,0.233,0.63,26.735
2025-10-01,S057,QNA014,QNA022,解放北路,601,4,48,主干路,9628,41.2,1575,0.243,0.88,19.224
2025-10-01,S058,QNA022,QNA030,解放北路,596,4,48,主干路,9757,41.2,1515,0.234,0.87,19.645
2025-10-01,S059,QNA030,QNA038,解放北路,465,4,48,主干路,9433,41.4,1525,0.235,0.67,24.343
2025-10-01,S060,QNA007,QNA015,应乾路,575,3,36,次干路,8384,37.1,1338,0.275,0.93,14.581
2025-10-01,S061,QNA015,QNA023,应乾路,378,3,36,次干路,6634,32.9,1069,0.22,0.69,17.55
2025-10-01,S062,QNA023,QNA031,应乾路,640,3,36,次干路,6652,32.8,1002,0.206,1.17,10.394
2025-10-01,S063,QNA031,QNA039,应乾路,315,3,36,次干路,6335,33.2,977,0.201,0.57,20.111
2025-10-01,S064,QNA008,QNA016,街泉街,211,2,32,支路,7782,37.3,1264,0.39,0.34,36.882
2025-10-01,S065,QNA016,QNA024,街泉街,369,2,32,支路,6052,33.4,938,0.29,0.66,16.401
2025-10-01,S066,QNA024,QNA032,街泉街,258,2,32,支路,6215,33.3,935,0.289,0.46,24.089
2025-10-01,S067,QNA032,QNA040,街泉街,397,2,32,支路,4770,29.2,759,0.234,0.82,12.015
2025-10-02,S001,QNA001,QNA002,成纪大道,647,4,52,主干路,9758,40.8,1497,0.231,0.95,18.098
2025-10-02,S002,QNA002,QNA003,成纪大道,377,4,52,主干路,10052,40.8,1560,0.241,0.55,31.996
2025-10-02,S003,QNA003,QNA004,成纪大道,332,4,52,主干路,9739,41.2,1556,0.24,0.48,35.201
2025-10-02,S004,QNA004,QNA005,成纪大道,699,4,52,主干路,9790,40.9,1553,0.24,1.03,16.807
2025-10-02,S005,QNA005,QNA006,成纪大道,460,4,52,主干路,10018,40.8,1610,0.248,0.68,26.134
2025-10-02,S006,QNA006,QNA007,成纪大道,445,4,52,主干路,9976,40.9,1567,0.242,0.65,26.902
2025-10-02,S007,QNA007,QNA008,成纪大道,434,4,52,主干路,9381,41.0,1449,0.224,0.64,25.938
2025-10-02,S008,QNA009,QNA010,太白街,391,3,42,次干路,9756,36.2,1712,0.352,0.65,24.951
2025-10-02,S009,QNA010,QNA011,太白街,697,3,42,次干路,12658,39.1,2094,0.431,1.07,18.161
2025-10-02,S010,QNA011,QNA012,太白街,372,3,42,次干路,10842,35.2,1743,0.359,0.63,29.145
2025-10-02,S011,QNA012,QNA013,太白街,666,3,42,次干路,7737,32.4,1355,0.279,1.23,11.617
2025-10-02,S012,QNA013,QNA014,太白街,699,3,42,次干路,8143,37.3,1340,0.276,1.12,11.649
2025-10-02,S013,QNA014,QNA015,太白街,599,3,42,次干路,8193,37.4,1333,0.274,0.96,13.678
2025-10-02,S014,QNA015,QNA016,太白街,364,3,42,次干路,6313,33.5,985,0.203,0.65,17.343
2025-10-02,S015,QNA017,QNA018,新华街,622,3,40,次干路,9777,36.0,1569,0.323,1.04,15.719
2025-10-02,S016,QNA018,QNA019,新华街,536,3,40,次干路,12724,39.1,2062,0.424,0.82,23.739
2025-10-02,S017,QNA019,QNA020,新华街,336,3,40,次干路,10851,35.3,1806,0.372,0.57,32.295
2025-10-02,S018,QNA020,QNA021,新华街,335,3,40,次干路,7684,32.2,1281,0.264,0.62,22.937
2025-10-02,S019,QNA021,QNA022,新华街,367,3,40,次干路,8132,36.7,1375,0.283,0.6,22.158
2025-10-02,S020,QNA022,QNA023,新华街,431,3,40,次干路,8168,37.0,1378,0.284,0.7,18.951
2025-10-02,S021,QNA023,QNA024,新华街,439,3,40,次干路,6274,33.4,1026,0.211,0.79,14.292
2025-10-02,S022,QNA025,QNA026,人民街,578,3,38,次干路,8147,37.1,1267,0.261,0.93,14.095
2025-10-02,S023,QNA026,QNA027,人民街,628,3,38,次干路,10053,40.8,1566,0.322,0.92,16.008
2025-10-02,S024,QNA027,QNA028,人民街,333,3,38,次干路,8450,36.8,1307,0.269,0.54,25.375
2025-10-02,S025,QNA028,QNA029,人民街,607,3,38,次干路,6915,32.9,1032,0.212,1.11,11.392
2025-10-02,S026,QNA029,QNA030,人民街,421,3,38,次干路,8532,36.8,1324,0.272,0.69,20.266
2025-10-02,S027,QNA030,QNA031,人民街,686,3,38,次干路,8359,36.8,1308,0.269,1.12,12.185
2025-10-02,S028,QNA031,QNA032,人民街,652,3,38,次干路,6429,33.4,1028,0.212,1.17,9.86
2025-10-02,S029,QNA033,QNA034,映南路,434,2,32,支路,7138,37.8,1181,0.365,0.69,16.447
2025-10-02,S030,QNA034,QNA035,映南路,332,2,32,支路,8831,41.3,1466,0.452,0.48,26.599
2025-10-02,S031,QNA035,QNA036,映南路,449,2,32,支路,7531,37.3,1265,0.39,0.72,16.773
2025-10-02,S032,QNA036,QNA037,映南路,362,2,32,支路,6121,33.4,996,0.307,0.65,16.909
2025-10-02,S033,QNA037,QNA038,映南路,223,2,32,支路,7407,37.7,1223,0.377,0.35,33.215
2025-10-02,S034,QNA038,QNA039,映南路,301,2,32,支路,7319,37.7,1222,0.377,0.48,24.316
2025-10-02,S035,QNA039,QNA040,映南路,436,2,32,支路,4541,29.4,762,0.235,0.89,10.415
2025-10-02,S036,QNA001,QNA009,环城西路,454,3,40,次干路,8078,37.2,1264,0.26,0.73,17.793
2025-10-02,S037,QNA009,QNA017,环城西路,422,3,40,次干路,6963,33.0,1112,0.229,0.77,16.5
2025-10-02,S038,QNA017,QNA025,环城西路,359,3,40,次干路,6600,33.1,1021,0.21,0.65,18.384
2025-10-02,S039,QNA025,QNA033,环城西路,390,3,40,次干路,5908,33.7,948,0.195,0.69,15.149
2025-10-02,S040,QNA002,QNA010,解放南路,452,4,48,主干路,11436,39.8,1852,0.286,0.68,30.361
2025-10-02,S041,QNA010,QNA018,解放南路,332,4,48,主干路,12570,39.1,2074,0.32,0.51,45.434
2025-10-02,S042,QNA018,QNA026,解放南路,327,4,48,主干路,11324,39.9,1785,0.275,0.49,41.556
2025-10-02,S043,QNA026,QNA034,解放南路,474,4,48,主干路,9377,41.1,1458,0.225,0.69,23.739
2025-10-02,S044,QNA003,QNA011,兴国路,329,4,46,主干路,11274,40.0,1854,0.286,0.49,41.121
2025-10-02,S045,QNA011,QNA019,兴国路,463,4,46,主干路,12812,39.0,2153,0.332,0.71,33.206
2025-10-02,S046,QNA019,QNA027,兴国路,456,4,46,主干路,11452,39.9,1748,0.27,0.69,30.137
2025-10-02,S047,QNA027,QNA035,兴国路,589,4,46,主干路,9507,41.0,1575,0.243,0.86,19.369
2025-10-02,S048,QNA004,QNA012,蔡林路,415,3,40,次干路,9307,36.4,1497,0.308,0.68,22.427
2025-10-02,S049,QNA012,QNA020,蔡林路,302,3,40,次干路,8881,31.5,1522,0.313,0.58,29.407
2025-10-02,S050,QNA020,QNA028,蔡林路,515,3,40,次干路,7849,32.2,1259,0.259,0.96,15.241
2025-10-02,S051,QNA028,QNA036,蔡林路,554,3,40,次干路,6474,33.1,982,0.202,1.0,11.686
2025-10-02,S052,QNA005,QNA013,北坛街,343,3,38,次干路,8219,37.0,1410,0.29,0.56,23.962
2025-10-02,S053,QNA013,QNA021,北坛街,473,3,38,次干路,6540,33.0,1114,0.229,0.86,13.827
2025-10-02,S054,QNA021,QNA029,北坛街,320,3,38,次干路,6751,32.9,1054,0.217,0.58,21.097
2025-10-02,S055,QNA029,QNA037,北坛街,562,3,38,次干路,6562,33.2,1048,0.216,1.02,11.676
2025-10-02,S056,QNA006,QNA014,解放北路,430,4,48,主干路,9941,41.1,1633,0.252,0.63,27.742
2025-10-02,S057,QNA014,QNA022,解放北路,601,4,48,主干路,9734,41.0,1563,0.241,0.88,19.436
2025-10-02,S058,QNA022,QNA030,解放北路,596,4,48,主干路,9913,40.6,1645,0.254,0.88,19.959
2025-10-02,S059,QNA030,QNA038,解放北路,465,4,48,主干路,9377,41.2,1521,0.235,0.68,24.199
2025-10-02,S060,QNA007,QNA015,应乾路,575,3,36,次干路,8228,37.2,1259,0.259,0.93,14.31
2025-10-02,S061,QNA015,QNA023,应乾路,378,3,36,次干路,6627,33.4,1078,0.222,0.68,17.532
2025-10-02,S062,QNA023,QNA031,应乾路,640,3,36,次干路,6614,33.2,1056,0.217,1.16,10.334
2025-10-02,S063,QNA031,QNA039,应乾路,315,3,36,次干路,6302,33.3,1029,0.212,0.57,20.006
2025-10-02,S064,QNA008,QNA016,街泉街,211,2,32,支路,7466,37.3,1187,0.366,0.34,35.384
2025-10-02,S065,QNA016,QNA024,街泉街,369,2,32,支路,5961,33.5,956,0.295,0.66,16.154
2025-10-02,S066,QNA024,QNA032,街泉街,258,2,32,支路,6089,33.5,1012,0.312,0.46,23.601
2025-10-02,S067,QNA032,QNA040,街泉街,397,2,32,支路,4668,29.5,761,0.235,0.81,11.758
2025-10-03,S001,QNA001,QNA002,成纪大道,647,4,52,主干路,9444,41.0,1535,0.237,0.95,17.516
2025-10-03,S002,QNA002,QNA003,成纪大道,377,4,52,主干路,9929,40.6,1704,0.263,0.56,31.604
2025-10-03,S003,QNA003,QNA004,成纪大道,332,4,52,主干路,9979,40.7,1606,0.248,0.49,36.069
2025-10-03,S004,QNA004,QNA005,成纪大道,699,4,52,主干路,9809,40.9,1512,0.233,1.03,16.839
2025-10-03,S005,QNA005,QNA006,成纪大道,460,4,52,主干路,9829,40.9,1532,0.236,0.67,25.641
2025-10-03,S006,QNA006,QNA007,成纪大道,445,4,52,主干路,9957,40.8,1534,0.237,0.65,26.85
2025-10-03,S007,QNA007,QNA008,成纪大道,434,4,52,主干路,9497,41.2,1507,0.233,0.63,26.259
2025-10-03,S008,QNA009,QNA010,太白街,391,3,42,次干路,10128,35.3,1700,0.35,0.66,25.903
2025-10-03,S009,QNA010,QNA011,太白街,697,3,42,次干路,12952,38.4,2219,0.457,1.09,18.582
2025-10-03,S010,QNA011,QNA012,太白街,372,3,42,次干路,10763,34.9,1783,0.367,0.64,28.933
2025-10-03,S011,QNA012,QNA013,太白街,666,3,42,次干路,7578,32.2,1277,0.263,1.24,11.378
2025-10-03,S012,QNA013,QNA014,太白街,699,3,42,次干路,8093,37.0,1287,0.265,1.13,11.578
2025-10-03,S013,QNA014,QNA015,太白街,599,3,42,次干路,8120,36.8,1278,0.263,0.98,13.556
2025-10-03,S014,QNA015,QNA016,太白街,364,3,42,次干路,6246,33.1,983,0.202,0.66,17.159
2025-10-03,S015,QNA017,QNA018,新华街,622,3,40,次干路,10003,35.6,1608,0.331,1.05,16.082
2025-10-03,S016,QNA018,QNA019,新华街,536,3,40,次干路,12750,38.7,2103,0.433,0.83,23.787
2025-10-03,S017,QNA019,QNA020,新华街,336,3,40,次干路,10835,35.3,1886,0.388,0.57,32.247
2025-10-03,S018,QNA020,QNA021,新华街,335,3,40,次干路,7594,32.8,1220,0.251,0.61,22.669
2025-10-03,S019,QNA021,QNA022,新华街,367,3,40,次干路,7975,37.4,1268,0.261,0.59,21.73
2025-10-03,S020,QNA022,QNA023,新华街,431,3,40,次干路,8193,37.1,1340,0.276,0.7,19.009
2025-10-03,S021,QNA023,QNA024,新华街,439,3,40,次干路,6392,33.3,1094,0.225,0.79,14.56
2025-10-03,S022,QNA025,QNA026,人民街,578,3,38,次干路,8034,37.1,1287,0.265,0.93,13.9
2025-10-03,S023,QNA026,QNA027,人民街,628,3,38,次干路,9753,41.0,1478,0.304,0.92,15.53
2025-10-03,S024,QNA027,QNA028,人民街,333,3,38,次干路,8186,37.1,1301,0.268,0.54,24.583
2025-10-03,S025,QNA028,QNA029,人民街,607,3,38,次干路,6715,33.2,1064,0.219,1.1,11.063
2025-10-03,S026,QNA029,QNA030,人民街,421,3,38,次干路,8313,37.1,1259,0.259,0.68,19.746
2025-10-03,S027,QNA030,QNA031,人民街,686,3,38,次干路,8290,37.1,1186,0.244,1.11,12.085
2025-10-03,S028,QNA031,QNA032,人民街,652,3,38,次干路,6503,33.3,1035,0.213,1.17,9.974
2025-10-03,S029,QNA033,QNA034,映南路,434,2,32,支路,7167,37.6,1118,0.345,0.69,16.514
2025-10-03,S030,QNA034,QNA035,映南路,332,2,32,支路,8850,41.6,1449,0.447,0.48,26.657
